product_name,category,brand,description,specifications,features,price,stock,warranty
Notebook,Stationery,Moleskine,"Hardcover ruled notebook 200 pages","Size: A5; Pages: 200; Cover: Hardcover; Color: Black","Acid-free paper, Durable cover, Elastic closure",4.99,500,"No warranty"
Power Bank,Electronics,Xiaomi,"10000mAh portable charger with fast charging","Capacity: 10000mAh; Output: 2.1A; Input: Micro-USB/USB-C; Color: White","Fast charging, Portable, LED indicator",18.50,220,"1 year manufacturer"
Electric Toothbrush,Health & Personal Care,Oral-B,"Rechargeable toothbrush with 3 cleaning modes","Battery: 2 weeks; Modes: Clean/White/Sensitive; Color: White/Blue","Rechargeable, Timer, Multiple cleaning modes",34.75,90,"2 years manufacturer"
Smartwatch,Electronics,Fitbit,"Fitness tracker watch with heart rate monitor","Display: 1.3-inch OLED; Battery: 7 days; Water-resistant: 50m; Connectivity: Bluetooth 5.0","Heart rate tracking, Sleep monitoring, Notifications, Fitness tracking",74.50,110,"1 year manufacturer"
Backpack,Bags,North Face,"Waterproof 30L travel backpack","Capacity: 30L; Material: Polyester; Pockets: 5; Color: Black/Blue","Waterproof, Multiple compartments, Comfortable straps",39.00,130,"2 years manufacturer"
Microwave Oven,Kitchen Appliances,Panasonic,"700W compact digital microwave","Power: 700W; Capacity: 20L; Dimensions: 45x25x30cm; Color: White","Digital display, Auto-cook programs, Compact design",89.00,70,"2 years manufacturer"
Bluetooth Speaker,Audio,JBL,"Portable waterproof mini speaker","Battery: 8 hours; Power: 5W; Connectivity: Bluetooth 5.0; Color: Blue","Portable, Waterproof, Built-in mic, Bass boost",29.99,150,"1 year manufacturer"
Tablet Stand,Accessories,Anker,"Adjustable aluminum stand for tablets","Material: Aluminum; Adjustable angles: 5 positions; Fits: 7-12 inch tablets; Color: Silver","Stable, Lightweight, Adjustable angle",13.75,200,"1 year limited"
TV 55'',Electronics,Samsung,"4K UHD Smart LED TV with Wi-Fi","Display: 55-inch 4K UHD; Smart OS: Tizen; HDMI ports: 3; Color: Black","4K resolution, Smart TV, Wi-Fi, HDMI inputs",449.99,35,"3 years manufacturer"
Hair Dryer,Health & Personal Care,Philips,"Compact 2000W hair dryer with cool shot","Power: 2000W; Heat Settings: 3; Cool Shot: Yes; Color: Pink","Fast drying, Cool shot, Lightweight",24.99,140,"1 year limited"
USB Cable,Electronics,Anker,"1m fast charging USB-C cable","Length: 1m; Type: USB-C; Material: Nylon braided; Color: Black","Fast charging, Durable, Tangle-free",5.99,400,"6 months manufacturer"
External Hard Drive,Electronics,Seagate,"1TB USB 3.0 external drive","Capacity: 1TB; Connection: USB 3.0; Material: Plastic; Color: Black","Portable, Fast transfer speed, Plug and play",59.50,90,"2 years manufacturer"
Sports Watch,Fitness,Casio,"Digital waterproof watch with stopwatch","Display: Digital; Water Resistance: 50m; Battery: 2 years; Color: Black","Stopwatch, Alarm, Water-resistant",19.99,150,"1 year limited"
LED Strip Light,Home & Office,Philips,"5m RGB LED strip with remote","Length: 5m; Colors: RGB; Power: 12V; Remote: Included","Remote control, Multi-color, Flexible strip",14.99,250,"1 year limited"
Air Fryer,Kitchen Appliances,Philips,"3.5L oil-free air fryer","Capacity: 3.5L; Power: 1400W; Temperature range: 80-200°C; Color: Black","Oil-free cooking, Digital timer, Rapid air circulation",79.00,80,"2 years manufacturer"
Smart Plug,Electronics,TP-Link,"Wi-Fi plug compatible with Alexa & Google","Power: 220V; Max load: 10A; Connectivity: Wi-Fi; Color: White","Voice control, Remote control, Energy monitoring",12.50,300,"1 year manufacturer"
Laptop Stand,Computer Accessories,Havit,"Adjustable ergonomic aluminum laptop stand","Material: Aluminum; Adjustable angles: 5; Fits: Up to 17-inch laptops; Color: Silver","Ergonomic, Lightweight, Foldable",28.99,180,"1 year limited"
Electric Kettle,Kitchen Appliances,Breville,"1.8L stainless steel automatic kettle","Capacity: 1.8L; Power: 1500W; Material: Stainless steel; Color: Silver","Auto shut-off, Boil-dry protection, Fast boiling",22.49,120,"2 years manufacturer"
Camera Tripod,Photography,Manfrotto,"Lightweight 55-inch adjustable tripod","Height: 55 inches; Material: Aluminum; Max Load: 5kg; Color: Black","Adjustable, Lightweight, Stable",32.00,100,"2 years manufacturer"
Mini Fridge,Home Appliances,Haier,"Compact 10L personal fridge","Capacity: 10L; Power: 45W; Color: White; Energy Rating: A+","Compact, Quiet operation, Energy efficient",69.99,60,"2 years manufacturer"
Yoga Mat,Fitness,Reebok,"Non-slip 6mm thick mat","Thickness: 6mm; Material: PVC; Size: 183x61cm; Color: Purple","Non-slip, Durable, Lightweight",19.49,180,"1 year limited"
Face Mask,Health & Personal Care,3M,"Reusable cotton mask pack of 3","Material: Cotton; Pack: 3; Color: Blue/Black; Washable: Yes","Reusable, Breathable, Comfortable fit",7.99,300,"6 months limited"
Vacuum Cleaner,Home Appliances,Dyson,"Handheld cordless vacuum for home","Power: 400W; Battery: 40min; Dust Capacity: 0.5L; Color: Silver","Cordless, Lightweight, Strong suction",65.99,70,"2 years manufacturer"
Graphic T-shirt,Fashion,H&M,"Printed unisex cotton T-shirt","Material: 100% Cotton; Sizes: S-XL; Color: White/Black","Soft fabric, Breathable, Stylish print",14.50,220,"6 months manufacturer"
HD Webcam,Computer Accessories,LogiTech,"1080p webcam with microphone","Resolution: 1080p; Field of View: 78°; Connectivity: USB; Color: Black","High-definition video, Built-in mic, Plug & play",29.99,120,"1 year limited"
Sunscreen Lotion,Health & Personal Care,Neutrogena,"SPF 50 broad spectrum sunblock","Volume: 100ml; SPF: 50; Water-resistant: 80min; Skin Type: All","UV protection, Water-resistant, Lightweight formula",11.75,250,"1 year limited"
Laptop,Computers,Dell,"14-inch Intel i5 laptop with 8GB RAM","Processor: Intel i5 11th gen; RAM: 8GB; Storage: 512GB SSD; Display: 14-inch FHD","Lightweight, Fast performance, Full HD display",549.00,60,"1 year manufacturer"
Desk Organizer,Home & Office,Ikea,"Wooden pen and file holder set","Material: Wood; Compartments: 5; Color: Natural","Durable, Stylish, Multiple compartments",17.50,140,"1 year limited"
Wireless Charger,Electronics,Anker,"15W Qi fast charging pad","Output: 15W; Input: 5V/2A; Material: Plastic; Color: Black","Fast charging, Non-slip surface, LED indicator",19.99,180,"1 year manufacturer"
Monitor,Computers,Acer,"24-inch Full HD LED monitor","Display: 24-inch; Resolution: 1920x1080; Refresh Rate: 60Hz; Color: Black","Full HD, Wide viewing angle, VESA mountable",129.99,80,"2 years manufacturer"
Men’s Jacket,Fashion,North Face,"Waterproof winter jacket with hood","Material: Polyester; Sizes: M-XXL; Color: Black; Insulation: Synthetic","Waterproof, Warm, Adjustable hood",79.99,90,"2 years manufacturer"
Women’s Handbag,Fashion,Michael Kors,"Faux leather crossbody bag","Material: Faux leather; Dimensions: 25x20x10cm; Color: Brown","Stylish, Lightweight, Durable",34.99,110,"1 year limited"
Portable Projector,Electronics,Anker,"Mini projector 1080p supported","Resolution: 1080p; Brightness: 200 lumens; Connectivity: HDMI/USB; Color: Black","Portable, Compact, HDMI/USB compatible",109.00,50,"1 year manufacturer"
Electric Scooter,Transportation,Xiaomi,"Foldable commuter scooter","Motor: 250W; Speed: 25km/h; Range: 20km; Weight: 12kg","Foldable, Lightweight, Electric motor",299.99,40,"1 year manufacturer"
Wireless Earbuds,Audio,Sony,"True wireless earbuds with mic","Battery: 6 hours; Charging case: 24 hours; Connectivity: Bluetooth 5.0; Color: White","Wireless, Noise reduction, Comfortable fit",39.99,140,"1 year manufacturer"
Desk Fan,Home Appliances,Philips,"USB powered mini fan","Power: 5W; Speed: 2 settings; Material: Plastic; Color: White","Portable, Quiet, USB powered",9.99,200,"6 months limited"
HDMI Cable,Electronics,Anker,"2m high-speed HDMI cable","Length: 2m; Type: HDMI 2.0; Material: PVC; Color: Black","High-speed, Durable, Supports 4K",8.49,300,"6 months manufacturer"
Pressure Cooker,Kitchen Appliances,Prestige,"5L stainless steel cooker","Capacity: 5L; Material: Stainless steel; Pressure: 15 PSI; Color: Silver","Durable, Easy to clean, Safety valves",44.99,120,"2 years manufacturer"
Perfume,Beauty,Chanel,"50ml luxury floral fragrance","Volume: 50ml; Type: Eau de Parfum; Scent: Floral; Color: Transparent","Long-lasting, Premium fragrance, Elegant packaging",54.00,70,"1 year manufacturer"
Table Lamp,Home & Office,Ikea,"Modern design lamp with dimmer","Power: 7W LED; Material: Aluminum; Color: White; Dimmer: Yes","Adjustable brightness, Modern design, Energy-efficient",27.99,130,"1 year limited"
