product_name,category,brand,description,specifications,features,price,stock,warranty
Mini Keyboard,Computer Accessories,Havit,"Portable Bluetooth mini keyboard","Connectivity: Bluetooth; Keys: 78; Battery: 6 months; Color: Black","Compact, Multi-device pairing, Lightweight",19.49,180,"1 year limited"
Dog Bed,Pet Supplies,PetSafe,"Soft washable pet bed","Material: Cotton/Polyester; Size: 80x60cm; Color: Grey; Washable: Yes","Comfortable, Washable, Soft padding",29.99,150,"1 year limited"
Electric Blanket,Home Appliances,Sunbeam,"Heated blanket with 3 settings","Size: 150x120cm; Power: 60W; Material: Fleece; Color: Red","3 heat settings, Soft fabric, Machine washable",69.50,70,"1 year manufacturer"
Wireless Gamepad,Electronics,LogiTech,"Bluetooth controller for phones","Connectivity: Bluetooth; Buttons: 12; Battery: 20 hours; Color: Black","Ergonomic, Wireless, Multi-platform",29.00,120,"1 year manufacturer"
Smart Scale,Health & Fitness,Xiaomi,"Bluetooth body weight scale","Max weight: 180kg; Connectivity: Bluetooth; Material: Tempered glass; Color: Black","Body composition analysis, App connectivity, Accurate",34.99,110,"1 year manufacturer"
LED Monitor,Computers,Acer,"27-inch IPS Full HD monitor","Display: 27-inch; Resolution: 1920x1080; Panel: IPS; Refresh rate: 75Hz","Full HD, IPS panel, Wide viewing angle",159.00,70,"2 years manufacturer"
Power Strip,Electronics,Anker,"6-outlet surge protector","Outlets: 6; Voltage: 250V; Cord length: 2m; Color: White","Surge protection, Multiple outlets, Compact",18.99,200,"1 year manufacturer"
Smart Lamp,Home & Office,Philips,"Voice-controlled bedside lamp","Power: 7W LED; Connectivity: Wi-Fi; Color: White; Dimmer: Yes","Voice control, Adjustable brightness, Energy-efficient",49.99,100,"1 year manufacturer"
Tablet,Electronics,Samsung,"10-inch Android tablet with 64GB","Display: 10-inch; Storage: 64GB; RAM: 4GB; OS: Android 11","Portable, Touchscreen, Wi-Fi connectivity",149.99,90,"1 year manufacturer"
Hand Blender,Kitchen Appliances,Breville,"300W multipurpose hand blender","Power: 300W; Speed: 2; Attachments: Whisk, Chopper; Color: White","Versatile, Easy to clean, Lightweight",25.99,140,"1 year manufacturer"
Photo Frame,Home & Office,Ikea,"Wooden 8x10 inch frame","Material: Wood; Size: 8x10 inch; Color: Brown","Stylish, Durable, Wall mountable",11.49,180,"1 year limited"
Camping Tent,Outdoor,Quechua,"2-person waterproof camping tent","Capacity: 2 persons; Material: Polyester; Waterproof: Yes; Color: Green","Portable, Waterproof, Easy setup",89.00,60,"2 years manufacturer"
Electric Shaver,Health & Personal Care,Philips,"Rechargeable rotary shaver","Battery: 45min; Power: 5W; Wet/Dry: Yes; Color: Black","Rechargeable, Wet/dry use, Close shave",39.99,120,"1 year manufacturer"
Mic Stand,Music Accessories,On-Stage,"Adjustable microphone stand","Height: 90-150cm; Material: Steel; Type: Tripod; Color: Black","Adjustable, Stable, Lightweight",24.50,150,"1 year manufacturer"
Tripod Light,Photography,Neewer,"LED ring light with tripod","Diameter: 10 inch; Brightness: 5500K; Tripod height: 150cm; Color: White","Adjustable, LED lighting, Tripod included",36.00,80,"1 year manufacturer"
Men’s Belt,Fashion,Tommy Hilfiger,"Genuine leather reversible belt","Material: Leather; Length: 110cm; Width: 3.5cm; Color: Brown/Black","Reversible, Durable, Stylish",21.99,160,"1 year limited"
Women’s Earrings,Fashion,Swarovski,"Crystal drop earrings","Material: Crystal alloy; Length: 3cm; Color: Silver","Elegant, Lightweight, Perfect for gifting",18.50,130,"1 year manufacturer"
VR Headset,Electronics,Oculus,"Virtual reality headset for phones","Compatibility: Android/iOS; Resolution: 1080p; Field of View: 100°; Color: Black","Immersive VR, Adjustable straps, Lightweight",49.99,70,"1 year manufacturer"
Smart Security Camera,Home Security,TP-Link,"1080p Wi-Fi indoor camera","Resolution: 1080p; Connectivity: Wi-Fi; Power: 5V; Color: White","Motion detection, Remote monitoring, Night vision",59.00,90,"1 year manufacturer"
Car Vacuum,Automotive,Black+Decker,"Portable handheld car vacuum","Power: 12V; Suction: 4000Pa; Cord length: 3m; Color: Black","Portable, Lightweight, Strong suction",27.50,120,"1 year manufacturer"
Lawn Mower,Garden,Greenworks,"Electric grass cutting machine","Power: 1200W; Cutting width: 40cm; Material: Steel; Color: Green","Electric, Lightweight, Easy maneuver",199.00,40,"2 years manufacturer"
Tool Kit,Tools,Stanley,"46-piece mechanical tool set","Pieces: 46; Material: Steel/Plastic; Storage: Case included; Color: Yellow/Black","Durable, Compact case, Multiple tools",42.00,130,"1 year manufacturer"
Robot Vacuum,Home Appliances,Xiaomi,"Automatic floor cleaning robot","Battery: 5200mAh; Suction: 2000Pa; Runtime: 120 min; Color: White","Automatic cleaning, Smart navigation, Rechargeable",179.00,60,"2 years manufacturer"
Air Cooler,Home Appliances,Symphony,"Portable mini air cooler","Cooling capacity: 500CFM; Power: 65W; Water tank: 4L; Color: White","Portable, Energy-efficient, Compact design",29.99,140,"1 year manufacturer"
Keyboard Stand,Music Accessories,On-Stage,"Adjustable metal music stand","Height: 80-120cm; Material: Metal; Color: Black","Adjustable, Foldable, Durable",33.00,150,"1 year manufacturer"
Electric Griller,Kitchen Appliances,Breville,"Non-stick electric grill pan","Power: 1200W; Surface: Non-stick; Size: 30x20cm; Color: Black","Non-stick, Easy to clean, Fast grilling",44.99,100,"1 year manufacturer"
Wireless Adapter,Networking,TP-Link,"USB Wi-Fi network adapter","Connectivity: 802.11ac; USB: 3.0; Speed: 600Mbps; Color: Black","High-speed, Plug and play, Compact",12.50,200,"1 year manufacturer"
Smart Ring,Electronics,Oura,"Fitness tracking smart ring","Battery: 7 days; Connectivity: Bluetooth; Size: Adjustable; Color: Black","Sleep tracking, Heart rate monitoring, Lightweight",89.00,60,"1 year manufacturer"
3D Printer,Electronics,Creality,"Desktop 3D printing machine","Build volume: 220x220x250mm; Layer resolution: 0.1mm; Material: PLA/ABS; Color: Black","Desktop use, High precision, Easy setup",399.00,20,"1 year manufacturer"
Security Safe,Home Security,Sentry,"Digital keypad safe box","Dimensions: 30x20x20cm; Lock: Digital keypad; Material: Steel; Color: Black","Digital lock, Fire-resistant, Compact",79.99,70,"2 years manufacturer"
Laser Printer,Office Equipment,HP,"Monochrome laser printer","Print Speed: 22ppm; Resolution: 1200x1200dpi; Connectivity: USB/Wi-Fi; Color: White","High-speed printing, Monochrome, Wireless",169.00,60,"2 years manufacturer"
Portable AC,Home Appliances,DeLonghi,"Mini personal air conditioner","Cooling capacity: 700W; Water tank: 1L; Noise: 50dB; Color: White","Portable, Energy-efficient, Easy to use",54.00,80,"1 year manufacturer"
Smart Glasses,Electronics,Vue,"AR-enabled Bluetooth glasses","Connectivity: Bluetooth 5.0; Battery: 8 hours; Weight: 45g; Color: Black","AR display, Music playback, Notifications",129.00,50,"1 year manufacturer"
Food Processor,Kitchen Appliances,Philips,"800W multi-function processor","Power: 800W; Bowl: 2L; Speeds: 3; Color: White","Multi-function, Easy clean, Powerful motor",99.99,70,"2 years manufacturer"
Wireless Extender,Networking,TP-Link,"Wi-Fi signal booster","Coverage: 1200 sq ft; Connectivity: Wi-Fi; Bands: Dual; Color: White","Extends Wi-Fi range, Easy setup, Compact",29.99,150,"1 year manufacturer"
Mechanical Pencil,Stationery,Rotring,"0.7mm precision drafting pencil","Lead size: 0.7mm; Material: Metal/Plastic; Color: Black","Precision, Durable, Comfortable grip",5.50,250,"6 months limited"
Marker Set,Stationery,Sharpie,"12-color permanent marker set","Colors: 12; Tip: Fine; Material: Ink; Color: Assorted","Permanent ink, Fine tip, Vibrant colors",7.99,200,"6 months limited"
Smart Doorbell,Home Security,Ring,"Video doorbell with motion sensor","Resolution: 1080p; Connectivity: Wi-Fi; Motion detection: Yes; Color: White","Video feed, Motion alerts, Easy installation",109.00,70,"1 year manufacturer"
Hand Warmer,Outdoor,Zippo,"Rechargeable electric hand warmer","Battery: 2600mAh; Power: 5W; Heat: Up to 50°C; Color: Black","Rechargeable, Portable, Long-lasting heat",16.99,180,"1 year limited"
Mini Fan,Home Appliances,Xiaomi,"Rechargeable handheld cooling fan","Battery: 2000mAh; Power: 5W; Speed: 2; Color: White","Rechargeable, Portable, Quiet operation",9.50,220,"6 months limited"
