15,"Oppo Reno 10","Smartphones","Oppo","Good camera, mid-range performance","{\"RAM\":\"8GB\",\"Storage\":\"128GB\",\"Display\":\"6.6-inch AMOLED\",\"Battery\":\"4500mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",499.99,110,"1 year Oppo warranty"
16,"Vivo V29","Smartphones","Vivo","Selfie-focused phone with good camera","{\"RAM\":\"8GB\",\"Storage\":\"128GB\",\"Display\":\"6.43-inch AMOLED\",\"Battery\":\"4300mAh\",\"Camera\":\"64MP Dual Camera\"}","{\"5G\":true,\"FastCharging\":true}",399.99,140,"1 year Vivo warranty"
17,"Realme 12 Pro+","Smartphones","Realme","High-refresh-rate display and solid performance for mid-range","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED 120Hz\",\"Battery\":\"5000mAh\",\"Camera\":\"200MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",599.99,90,"1 year Realme warranty"
18,"Realme Narzo 60","Smartphones","Realme","Budget gaming phone with 120Hz display","{\"RAM\":\"6GB\",\"Storage\":\"128GB\",\"Display\":\"6.6-inch AMOLED 120Hz\",\"Battery\":\"5000mAh\",\"Camera\":\"48MP Dual Camera\"}","{\"5G\":true,\"FastCharging\":true}",179.99,160,"1 year Realme warranty"
19,"Sony Xperia 1 V","Smartphones","Sony","Niche phone with 4K OLED display and professional camera tools","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.5-inch 4K OLED\",\"Battery\":\"4500mAh\",\"Camera\":\"12MP Triple Camera\"}","{\"5G\":true,\"WirelessCharging\":true,\"CinematographyMode\":true}",1199.99,30,"1 year Sony warranty"
20,"Motorola Edge 40","Smartphones","Motorola","Sleek mid-range phone with curved display","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.55-inch OLED\",\"Battery\":\"4020mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",499.99,80,"1 year Motorola warranty"
21,"Asus ROG Phone 7","Smartphones","Asus","Gaming phone with 165Hz display and huge battery","{\"RAM\":\"16GB\",\"Storage\":\"512GB\",\"Display\":\"6.78-inch AMOLED 165Hz\",\"Battery\":\"6000mAh\",\"Camera\":\"64MP Triple Camera\"}","{\"GamingMode\":true,\"5G\":true,\"FastCharging\":true}",899.99,40,"1 year Asus warranty"
22,"Nokia G22","Smartphones","Nokia","Budget phone with long-lasting battery","{\"RAM\":\"4GB\",\"Storage\":\"64GB\",\"Display\":\"6.5-inch LCD\",\"Battery\":\"5050mAh\",\"Camera\":\"50MP Dual Camera\"}","{\"5G\":false,\"WirelessCharging\":false}",179.99,200,"2 year Nokia warranty"
23,"Lenovo Legion Y90","Smartphones","Lenovo","Gaming phone with massive battery and cooling system","{\"RAM\":\"16GB\",\"Storage\":\"512GB\",\"Display\":\"6.92-inch AMOLED 144Hz\",\"Battery\":\"5500mAh\",\"Camera\":\"64MP Dual Camera\"}","{\"GamingMode\":true,\"5G\":true,\"FastCharging\":true}",899.99,30,"1 year Lenovo warranty"
24,"Black Shark 6 Pro","Smartphones","Black Shark","Gaming phone with AMOLED display and shoulder triggers","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.67-inch AMOLED 120Hz\",\"Battery\":\"4700mAh\",\"Camera\":\"64MP Triple Camera\"}","{\"GamingMode\":true,\"5G\":true,\"FastCharging\":true}",699.99,50,"1 year Black Shark warranty"
25,"Samsung Galaxy Z Flip 5","Smartphones","Samsung","Foldable flagship phone with unique form factor","{\"RAM\":\"8GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED foldable\",\"Battery\":\"3700mAh\",\"Camera\":\"12MP Dual Camera\"}","{\"WirelessCharging\":true,\"5G\":true}",1099.99,35,"1 year Samsung warranty"
26,"iPhone 13 Mini","Smartphones","Apple","Compact older iPhone with good performance","{\"RAM\":\"4GB\",\"Storage\":\"128GB\",\"Display\":\"5.4-inch OLED\",\"Battery\":\"2406mAh\",\"Camera\":\"12MP Dual Camera\"}","{\"FaceID\":true,\"WirelessCharging\":true,\"5G\":true}",599.99,60,"1 year Apple warranty"
27,"Oppo Find X6","Smartphones","Oppo","Flagship with top-tier camera system","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED\",\"Battery\":\"4800mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",799.99,50,"1 year Oppo warranty"
28,"Vivo X90 Pro","Smartphones","Vivo","High-end camera-focused phone","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.78-inch AMOLED\",\"Battery\":\"4700mAh\",\"Camera\":\"50MP Quad Camera\"}","{\"FastCharging\":true,\"5G\":true}",699.99,50,"1 year Vivo warranty"
29,"Xiaomi 13 Ultra","Smartphones","Xiaomi","Premium phone with Leica camera system","{\"RAM\":\"12GB\",\"Storage\":\"512GB\",\"Display\":\"6.73-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Quad Camera\"}","{\"FastCharging\":true,\"5G\":true}",899.99,40,"1 year Xiaomi warranty"
30,"OnePlus 11R","Smartphones","OnePlus","High-performance mid-range flagship","{\"RAM\":\"16GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED 120Hz\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",649.99,60,"1 year OnePlus warranty"
31,"Google Pixel 8","Smartphones","Google","Flagship with great AI camera","{\"RAM\":\"8GB\",\"Storage\":\"128GB\",\"Display\":\"6.2-inch OLED\",\"Battery\":\"4355mAh\",\"Camera\":\"50MP Dual Camera\"}","{\"AI Photography\":true,\"5G\":true}",699.99,70,"1 year Google warranty"
32,"Samsung Galaxy Note 20 Ultra","Smartphones","Samsung","Older flagship with stylus support","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.9-inch AMOLED\",\"Battery\":\"4500mAh\",\"Camera\":\"108MP Triple Camera\"}","{\"S-Pen\":true,\"5G\":true}",899.99,25,"1 year Samsung warranty"
33,"Realme GT 3","Smartphones","Realme","Mid-range with AMOLED display and fast charging","{\"RAM\":\"12GB\",\"Storage\":\"256GB\",\"Display\":\"6.7-inch AMOLED\",\"Battery\":\"4500mAh\",\"Camera\":\"50MP Triple Camera\"}","{\"FastCharging\":true,\"5G\":true}",399.99,90,"1 year Realme warranty"
34,"Sony Xperia 5 IV","Smartphones","Sony","Compact flagship with 120Hz OLED display","{\"RAM\":\"8GB\",\"Storage\":\"128GB\",\"Display\":\"6.1-inch OLED 120Hz\",\"Battery\":\"5000mAh\",\"Camera\":\"12MP Triple Camera\"}","{\"5G\":true,\"WirelessCharging\":true}",899.99,35,"1 year Sony warranty"
35,"Motorola Moto G73","Smartphones","Motorola","Mid-range phone with solid battery and camera","{\"RAM\":\"6GB\",\"Storage\":\"128GB\",\"Display\":\"6.5-inch AMOLED\",\"Battery\":\"5000mAh\",\"Camera\":\"50MP Dual Camera\"}","{\"5G\":true,\"FastCharging\":true}",229.99,120,"1 year Motorola warranty"
